Job Title,Hospital,Link,Excel Link
Senior Associate / Associate Executive,"Accounts, Clinical Trials",https://careers.singhealth.com.sg/NCCS/job/Singapore-Senior-Associate-Associate-Executive-%28Accounts%2C-Clinical-Trials%29-Sing/36249144/,"=HYPERLINK(""https://careers.singhealth.com.sg/NCCS/job/Singapore-Senior-Associate-Associate-Executive-%28Accounts%2C-Clinical-Trials%29-Sing/36249144/"", ""View Job"")"
"Senior Assistant Manager, Patient Financial Services , Eastern General Hospital PO",Finance,https://careers.singhealth.com.sg/EGH/job/Singapore-Senior-Assistant-Manager%2C-Patient-Financial-Services-%28Finance%29%2C-Eastern-General-Hospital-PO-Sing/43183444/,"=HYPERLINK(""https://careers.singhealth.com.sg/EGH/job/Singapore-Senior-Assistant-Manager%2C-Patient-Financial-Services-%28Finance%29%2C-Eastern-General-Hospital-PO-Sing/43183444/"", ""View Job"")"
"Radiographer, Cardiac Radiology",Unknown,https://careers.singhealth.com.sg/NHCS/job/Singapore-Radiographer%2C-Cardiac-Radiology-Sing/12404444/,"=HYPERLINK(""https://careers.singhealth.com.sg/NHCS/job/Singapore-Radiographer%2C-Cardiac-Radiology-Sing/12404444/"", ""View Job"")"
Patient Care Assistant  (Full-Time),Inpatient,https://careers.singhealth.com.sg/NHCS/job/Singapore-Patient-Care-Assistant-%28Inpatient%29-%28Full-Time%29-Sing/12406944/,"=HYPERLINK(""https://careers.singhealth.com.sg/NHCS/job/Singapore-Patient-Care-Assistant-%28Inpatient%29-%28Full-Time%29-Sing/12406944/"", ""View Job"")"
"Manager, Human Resource",Unknown,https://careers.singhealth.com.sg/SHP/job/Singapore-Manager%2C-Human-Resource-Sing/38160344/,"=HYPERLINK(""https://careers.singhealth.com.sg/SHP/job/Singapore-Manager%2C-Human-Resource-Sing/38160344/"", ""View Job"")"
Research Officer,Data Analysis,https://careers.singhealth.com.sg/NCCS/job/Singapore-Research-Officer-%28Data-Analysis%29-Sing/50866144/,"=HYPERLINK(""https://careers.singhealth.com.sg/NCCS/job/Singapore-Research-Officer-%28Data-Analysis%29-Sing/50866144/"", ""View Job"")"
"Enrolled Nurse II, Dayward",Unknown,https://careers.singhealth.com.sg/SNEC/job/Singapore-Enrolled-Nurse-II%2C-Dayward-Sing/50866644/,"=HYPERLINK(""https://careers.singhealth.com.sg/SNEC/job/Singapore-Enrolled-Nurse-II%2C-Dayward-Sing/50866644/"", ""View Job"")"
Clinical Coding Specialist,Unknown,https://careers.singhealth.com.sg/SNEC/job/Singapore-Clinical-Coding-Specialist-Sing/50869044/,"=HYPERLINK(""https://careers.singhealth.com.sg/SNEC/job/Singapore-Clinical-Coding-Specialist-Sing/50869044/"", ""View Job"")"
Senior Assistant Project Manager,Translational Science,https://careers.singhealth.com.sg/NCCS/job/Singapore-Senior-Assistant-Project-Manager-%28Translational-Science%29-Sing/50873744/,"=HYPERLINK(""https://careers.singhealth.com.sg/NCCS/job/Singapore-Senior-Assistant-Project-Manager-%28Translational-Science%29-Sing/50873744/"", ""View Job"")"
Associate Consultant / Consultant,Unknown,https://careers.singhealth.com.sg/CGH/job/Singapore-Associate-Consultant-Consultant-Sing/12416444/,"=HYPERLINK(""https://careers.singhealth.com.sg/CGH/job/Singapore-Associate-Consultant-Consultant-Sing/12416444/"", ""View Job"")"
Senior / Pharmacist,Compounding Lab,https://careers.singhealth.com.sg/SGH/job/Singapore-Senior-Pharmacist-%28Compounding-Lab%29-Sing/13387044/,"=HYPERLINK(""https://careers.singhealth.com.sg/SGH/job/Singapore-Senior-Pharmacist-%28Compounding-Lab%29-Sing/13387044/"", ""View Job"")"
"Senior/Associate  Health Information Mgmt Svcs, Medical Report",1-year Renewable,https://careers.singhealth.com.sg/SKH/job/Singapore-SeniorAssociate-%281-year-Renewable%29-Health-Information-Mgmt-Svcs%2C-Medical-Report-Sing/22396344/,"=HYPERLINK(""https://careers.singhealth.com.sg/SKH/job/Singapore-SeniorAssociate-%281-year-Renewable%29-Health-Information-Mgmt-Svcs%2C-Medical-Report-Sing/22396344/"", ""View Job"")"
Community Dietitian,Junior / Senior,https://careers.singhealth.com.sg/SCH/job/Singapore-Community-Dietitian-%28Junior-Senior%29-Sing/23800344/,"=HYPERLINK(""https://careers.singhealth.com.sg/SCH/job/Singapore-Community-Dietitian-%28Junior-Senior%29-Sing/23800344/"", ""View Job"")"
Healthcare Management Executive,Unknown,https://careers.singhealth.com.sg/SHHQ/job/Singapore-Healthcare-Management-Executive-Sing/21675644/,"=HYPERLINK(""https://careers.singhealth.com.sg/SHHQ/job/Singapore-Healthcare-Management-Executive-Sing/21675644/"", ""View Job"")"
Patient Care Assistant,Radiology,https://careers.singhealth.com.sg/SGH/job/Singapore-Patient-Care-Assistant-%28Radiology%29-Sing/44703644/,"=HYPERLINK(""https://careers.singhealth.com.sg/SGH/job/Singapore-Patient-Care-Assistant-%28Radiology%29-Sing/44703644/"", ""View Job"")"
Transplant Coordinator,NOTU,https://careers.singhealth.com.sg/SGH/job/Singapore-Transplant-Coordinator-%28NOTU%29-Sing/12706244/,"=HYPERLINK(""https://careers.singhealth.com.sg/SGH/job/Singapore-Transplant-Coordinator-%28NOTU%29-Sing/12706244/"", ""View Job"")"
Senior Executive/ Assistant Manager,Unknown,https://careers.singhealth.com.sg/NNI/job/Singapore-Senior-Executive-Assistant-Manager-Sing/36206744/,"=HYPERLINK(""https://careers.singhealth.com.sg/NNI/job/Singapore-Senior-Executive-Assistant-Manager-Sing/36206744/"", ""View Job"")"
"Senior Executive, Environmental Services",2-year contract,https://careers.singhealth.com.sg/CGH/job/Singapore-Senior-Executive%2C-Environmental-Services-%282-year-contract%29-Sing/47474544/,"=HYPERLINK(""https://careers.singhealth.com.sg/CGH/job/Singapore-Senior-Executive%2C-Environmental-Services-%282-year-contract%29-Sing/47474544/"", ""View Job"")"
Senior Assistant / Manager - Office of Research,IACUC,https://careers.singhealth.com.sg/SHHQ/job/Singapore-Senior-Assistant-Manager-Office-of-Research-%28IACUC%29-Sing/48535044/,"=HYPERLINK(""https://careers.singhealth.com.sg/SHHQ/job/Singapore-Senior-Assistant-Manager-Office-of-Research-%28IACUC%29-Sing/48535044/"", ""View Job"")"
"Instrument Technician Associate, Sterile Supply Unit @ SGH",Unknown,https://careers.singhealth.com.sg/SGH/job/Singapore-Instrument-Technician-Associate%2C-Sterile-Supply-Unit-%40-SGH-Sing/12413144/,"=HYPERLINK(""https://careers.singhealth.com.sg/SGH/job/Singapore-Instrument-Technician-Associate%2C-Sterile-Supply-Unit-%40-SGH-Sing/12413144/"", ""View Job"")"
"Assistant Manager, Centre for Person-Centred Care",Contract,https://careers.singhealth.com.sg/SHHQ/job/Singapore-Assistant-Manager%2C-Centre-for-Person-Centred-Care-%28Contract%29-Sing/50817544/,"=HYPERLINK(""https://careers.singhealth.com.sg/SHHQ/job/Singapore-Assistant-Manager%2C-Centre-for-Person-Centred-Care-%28Contract%29-Sing/50817544/"", ""View Job"")"
Research Officer II,Unknown,https://careers.singhealth.com.sg/NNI/job/Singapore-Research-Officer-II-Sing/50818244/,"=HYPERLINK(""https://careers.singhealth.com.sg/NNI/job/Singapore-Research-Officer-II-Sing/50818244/"", ""View Job"")"
Research Officer,Unknown,https://careers.singhealth.com.sg/NNI/job/Singapore-Research-Officer-Sing/50827344/,"=HYPERLINK(""https://careers.singhealth.com.sg/NNI/job/Singapore-Research-Officer-Sing/50827344/"", ""View Job"")"
Research Coordinator,DSPC,https://careers.singhealth.com.sg/NCCS/job/Singapore-Research-Coordinator-%28DSPC%29-Sing/50841944/,"=HYPERLINK(""https://careers.singhealth.com.sg/NCCS/job/Singapore-Research-Coordinator-%28DSPC%29-Sing/50841944/"", ""View Job"")"
"Associate Executive, Patient Experience",Unknown,https://careers.singhealth.com.sg/SKH/job/Singapore-Associate-Executive%2C-Patient-Experience-Sing/50841744/,"=HYPERLINK(""https://careers.singhealth.com.sg/SKH/job/Singapore-Associate-Executive%2C-Patient-Experience-Sing/50841744/"", ""View Job"")"
Senior / Pharmacists,Unknown,https://careers.singhealth.com.sg/SGH/job/Singapore-Senior-Pharmacists-Sing/15735844/,"=HYPERLINK(""https://careers.singhealth.com.sg/SGH/job/Singapore-Senior-Pharmacists-Sing/15735844/"", ""View Job"")"
Epidemiologist,Unknown,https://careers.singhealth.com.sg/SGH/job/Singapore-Epidemiologist-Sing/17958944/,"=HYPERLINK(""https://careers.singhealth.com.sg/SGH/job/Singapore-Epidemiologist-Sing/17958944/"", ""View Job"")"
Patient Service Associate,Counter,https://careers.singhealth.com.sg/NNI/job/Singapore-Patient-Service-Associate-%28Counter%29-Sing/12409544/,"=HYPERLINK(""https://careers.singhealth.com.sg/NNI/job/Singapore-Patient-Service-Associate-%28Counter%29-Sing/12409544/"", ""View Job"")"
Pharmacy Technician,Unknown,https://careers.singhealth.com.sg/SGH/job/Singapore-Pharmacy-Technician-Sing/15735944/,"=HYPERLINK(""https://careers.singhealth.com.sg/SGH/job/Singapore-Pharmacy-Technician-Sing/15735944/"", ""View Job"")"
Pharmacy Assistant - Contract position,Unknown,https://careers.singhealth.com.sg/SGH/job/Singapore-Pharmacy-Assistant-Contract-position-Sing/15736044/,"=HYPERLINK(""https://careers.singhealth.com.sg/SGH/job/Singapore-Pharmacy-Assistant-Contract-position-Sing/15736044/"", ""View Job"")"
Senior / Manager,Clinical Trials Contract,https://careers.singhealth.com.sg/NCCS/job/Singapore-Senior-Manager-%28Clinical-Trials-Contract%29-Sing/34848444/,"=HYPERLINK(""https://careers.singhealth.com.sg/NCCS/job/Singapore-Senior-Manager-%28Clinical-Trials-Contract%29-Sing/34848444/"", ""View Job"")"
Patient Care Assistant,Unknown,https://careers.singhealth.com.sg/NCCS/job/Singapore-Patient-Care-Assistant-Sing/22576544/,"=HYPERLINK(""https://careers.singhealth.com.sg/NCCS/job/Singapore-Patient-Care-Assistant-Sing/22576544/"", ""View Job"")"
"Associate Executive, Nursing",Unknown,https://careers.singhealth.com.sg/NHCS/job/Singapore-Associate-Executive%2C-Nursing-Sing/46025444/,"=HYPERLINK(""https://careers.singhealth.com.sg/NHCS/job/Singapore-Associate-Executive%2C-Nursing-Sing/46025444/"", ""View Job"")"
Senior / Physiotherapist,Unknown,https://careers.singhealth.com.sg/KKH/job/Singapore-Senior-Physiotherapist-Sing/45676744/,"=HYPERLINK(""https://careers.singhealth.com.sg/KKH/job/Singapore-Senior-Physiotherapist-Sing/45676744/"", ""View Job"")"
"Manager, Business Office",Billing,https://careers.singhealth.com.sg/SCH/job/Singapore-Manager%2C-Business-Office-%28Billing%29-Sing/46025144/,"=HYPERLINK(""https://careers.singhealth.com.sg/SCH/job/Singapore-Manager%2C-Business-Office-%28Billing%29-Sing/46025144/"", ""View Job"")"
Senior / Therapy Assistant,Unknown,https://careers.singhealth.com.sg/SCH/job/Singapore-Senior-Therapy-Assistant-Sing/48619344/,"=HYPERLINK(""https://careers.singhealth.com.sg/SCH/job/Singapore-Senior-Therapy-Assistant-Sing/48619344/"", ""View Job"")"
"Principal Analyst, Machine learning, Group Finance Analytics",Unknown,https://careers.singhealth.com.sg/SHHQ/job/Singapore-Principal-Analyst%2C-Machine-learning%2C-Group-Finance-Analytics-Sing/47434044/,"=HYPERLINK(""https://careers.singhealth.com.sg/SHHQ/job/Singapore-Principal-Analyst%2C-Machine-learning%2C-Group-Finance-Analytics-Sing/47434044/"", ""View Job"")"
Associate / Research Coordinator,DMOHS,https://careers.singhealth.com.sg/NCCS/job/Singapore-Associate-Research-Coordinator-%28DMOHS%29-Sing/48635644/,"=HYPERLINK(""https://careers.singhealth.com.sg/NCCS/job/Singapore-Associate-Research-Coordinator-%28DMOHS%29-Sing/48635644/"", ""View Job"")"
"Lead / Senior Principal / Principal / Senior / Physiotherapist, EGH Planning Office",Unknown,https://careers.singhealth.com.sg/EGH/job/Singapore-Lead-Senior-Principal-Principal-Senior-Physiotherapist%2C-EGH-Planning-Office-Sing/47380044/,"=HYPERLINK(""https://careers.singhealth.com.sg/EGH/job/Singapore-Lead-Senior-Principal-Principal-Senior-Physiotherapist%2C-EGH-Planning-Office-Sing/47380044/"", ""View Job"")"
"Principal Engineer / Manager, Facilities Management",Unknown,https://careers.singhealth.com.sg/CGH/job/Singapore-Principal-Engineer-Manager%2C-Facilities-Management-Sing/47395944/,"=HYPERLINK(""https://careers.singhealth.com.sg/CGH/job/Singapore-Principal-Engineer-Manager%2C-Facilities-Management-Sing/47395944/"", ""View Job"")"
"Principal / Senior / Radiographer, EGH Planning Office",Unknown,https://careers.singhealth.com.sg/EGH/job/Singapore-Principal-Senior-Radiographer%2C-EGH-Planning-Office-Sing/47381444/,"=HYPERLINK(""https://careers.singhealth.com.sg/EGH/job/Singapore-Principal-Senior-Radiographer%2C-EGH-Planning-Office-Sing/47381444/"", ""View Job"")"
"Clinical Coder , Health Information Management Services",Full-Time / Part-Time,https://careers.singhealth.com.sg/SKH/job/Singapore-Clinical-Coder-%28Full-Time-Part-Time%29%2C-Health-Information-Management-Services-Sing/13668844/,"=HYPERLINK(""https://careers.singhealth.com.sg/SKH/job/Singapore-Clinical-Coder-%28Full-Time-Part-Time%29%2C-Health-Information-Management-Services-Sing/13668844/"", ""View Job"")"
"Senior Lead Clinical Research Nurse, Investigational Medicine Unit",Contract,https://careers.singhealth.com.sg/SHHQ/job/Singapore-Senior-Lead-Clinical-Research-Nurse%2C-Investigational-Medicine-Unit-%28Contract%29-Sing/13113244/,"=HYPERLINK(""https://careers.singhealth.com.sg/SHHQ/job/Singapore-Senior-Lead-Clinical-Research-Nurse%2C-Investigational-Medicine-Unit-%28Contract%29-Sing/13113244/"", ""View Job"")"
"Manager, Facilities Development and Infrastructure",Unknown,https://careers.singhealth.com.sg/SGH/job/Singapore-Manager%2C-Facilities-Development-and-Infrastructure-Sing/21775944/,"=HYPERLINK(""https://careers.singhealth.com.sg/SGH/job/Singapore-Manager%2C-Facilities-Development-and-Infrastructure-Sing/21775944/"", ""View Job"")"
Instrument Technician Associate,Central Sterile Supply Unit,https://careers.singhealth.com.sg/KKH/job/Singapore-Instrument-Technician-Associate-%28Central-Sterile-Supply-Unit%29-Sing/13505344/,"=HYPERLINK(""https://careers.singhealth.com.sg/KKH/job/Singapore-Instrument-Technician-Associate-%28Central-Sterile-Supply-Unit%29-Sing/13505344/"", ""View Job"")"
Operating Theatre Technician Assistant,Unknown,https://careers.singhealth.com.sg/KKH/job/Singapore-Operating-Theatre-Technician-Assistant-Sing/13505544/,"=HYPERLINK(""https://careers.singhealth.com.sg/KKH/job/Singapore-Operating-Theatre-Technician-Assistant-Sing/13505544/"", ""View Job"")"
"Executive, Patient Financial Services",Unknown,https://careers.singhealth.com.sg/SGH/job/Singapore-Executive%2C-Patient-Financial-Services-Sing/20990544/,"=HYPERLINK(""https://careers.singhealth.com.sg/SGH/job/Singapore-Executive%2C-Patient-Financial-Services-Sing/20990544/"", ""View Job"")"
"Associate Executive, Regional Health System Operations",Contract,https://careers.singhealth.com.sg/SHHQ/job/Singapore-Associate-Executive%2C-Regional-Health-System-Operations-%28Contract%29-Sing/34915944/,"=HYPERLINK(""https://careers.singhealth.com.sg/SHHQ/job/Singapore-Associate-Executive%2C-Regional-Health-System-Operations-%28Contract%29-Sing/34915944/"", ""View Job"")"
Clinical Research Coordinator II,Unknown,https://careers.singhealth.com.sg/NNI/job/Singapore-Clinical-Research-Coordinator-II-Sing/26271444/,"=HYPERLINK(""https://careers.singhealth.com.sg/NNI/job/Singapore-Clinical-Research-Coordinator-II-Sing/26271444/"", ""View Job"")"
"Senior/Executive, Patient Experience",Unknown,https://careers.singhealth.com.sg/NHCS/job/Singapore-SeniorExecutive%2C-Patient-Experience-Sing/39931144/,"=HYPERLINK(""https://careers.singhealth.com.sg/NHCS/job/Singapore-SeniorExecutive%2C-Patient-Experience-Sing/39931144/"", ""View Job"")"
"Principal / Senior / Medical Social Worker, EGH Planning Office",Unknown,https://careers.singhealth.com.sg/EGH/job/Singapore-Principal-Senior-Medical-Social-Worker%2C-EGH-Planning-Office-Sing/47378544/,"=HYPERLINK(""https://careers.singhealth.com.sg/EGH/job/Singapore-Principal-Senior-Medical-Social-Worker%2C-EGH-Planning-Office-Sing/47378544/"", ""View Job"")"
"Senior Manager, Clinical Governance",Unknown,https://careers.singhealth.com.sg/SKH/job/Singapore-Senior-Manager%2C-Clinical-Governance-Sing/49689344/,"=HYPERLINK(""https://careers.singhealth.com.sg/SKH/job/Singapore-Senior-Manager%2C-Clinical-Governance-Sing/49689344/"", ""View Job"")"
"Senior Manager, Talent Attraction, Development & Awards",Unknown,https://careers.singhealth.com.sg/SHHQ/job/Singapore-Senior-Manager%2C-Talent-Attraction%2C-Development-&-Awards-Sing/49693744/,"=HYPERLINK(""https://careers.singhealth.com.sg/SHHQ/job/Singapore-Senior-Manager%2C-Talent-Attraction%2C-Development-&-Awards-Sing/49693744/"", ""View Job"")"
"Manager / Assistant Manager, Facilities Management & Engineering",Unknown,https://careers.singhealth.com.sg/SGH/job/Singapore-Manager-Assistant-Manager%2C-Facilities-Management-&-Engineering-Sing/23269044/,"=HYPERLINK(""https://careers.singhealth.com.sg/SGH/job/Singapore-Manager-Assistant-Manager%2C-Facilities-Management-&-Engineering-Sing/23269044/"", ""View Job"")"
Programme Coordinator,Eating Disorder,https://careers.singhealth.com.sg/SGH/job/Singapore-Programme-Coordinator-%28Eating-Disorder%29-Sing/21720844/,"=HYPERLINK(""https://careers.singhealth.com.sg/SGH/job/Singapore-Programme-Coordinator-%28Eating-Disorder%29-Sing/21720844/"", ""View Job"")"
Associate Executive,Unknown,https://careers.singhealth.com.sg/NNI/job/Singapore-Associate-Executive-Sing/24985844/,"=HYPERLINK(""https://careers.singhealth.com.sg/NNI/job/Singapore-Associate-Executive-Sing/24985844/"", ""View Job"")"
"Senior Manager, Medical Informatics Office",Contract,https://careers.singhealth.com.sg/SHHQ/job/Singapore-Senior-Manager%2C-Medical-Informatics-Office-%28Contract%29-Sing/39860744/,"=HYPERLINK(""https://careers.singhealth.com.sg/SHHQ/job/Singapore-Senior-Manager%2C-Medical-Informatics-Office-%28Contract%29-Sing/39860744/"", ""View Job"")"
Transplant Coordinator, Living Transplant,https://careers.singhealth.com.sg/SGH/job/Singapore-Transplant-Coordinator-%28-Living-Transplant%29-Sing/21718444/,"=HYPERLINK(""https://careers.singhealth.com.sg/SGH/job/Singapore-Transplant-Coordinator-%28-Living-Transplant%29-Sing/21718444/"", ""View Job"")"
Senior Staff Nurse,Ambulatory,https://careers.singhealth.com.sg/NNI/job/Singapore-Senior-Staff-Nurse-%28Ambulatory%29-Sing/12503544/,"=HYPERLINK(""https://careers.singhealth.com.sg/NNI/job/Singapore-Senior-Staff-Nurse-%28Ambulatory%29-Sing/12503544/"", ""View Job"")"
Senior Associate  - Contract position,Pharmacy Operation,https://careers.singhealth.com.sg/SGH/job/Singapore-Senior-Associate-%28Pharmacy-Operation%29-Contract-position-Sing/21720644/,"=HYPERLINK(""https://careers.singhealth.com.sg/SGH/job/Singapore-Senior-Associate-%28Pharmacy-Operation%29-Contract-position-Sing/21720644/"", ""View Job"")"
Sponsorship - NITEC in Dental Assisting,Unknown,https://careers.singhealth.com.sg/NDCS/job/Singapore-Sponsorship-NITEC-in-Dental-Assisting-Sing/31168144/,"=HYPERLINK(""https://careers.singhealth.com.sg/NDCS/job/Singapore-Sponsorship-NITEC-in-Dental-Assisting-Sing/31168144/"", ""View Job"")"
"Senior/Patient Service Associate, Call Centre",Unknown,https://careers.singhealth.com.sg/SKH/job/Singapore-SeniorPatient-Service-Associate%2C-Call-Centre-Sing/32154144/,"=HYPERLINK(""https://careers.singhealth.com.sg/SKH/job/Singapore-SeniorPatient-Service-Associate%2C-Call-Centre-Sing/32154144/"", ""View Job"")"
"Manager, SingHealth Community Health Office of Learning",Contract,https://careers.singhealth.com.sg/SHHQ/job/Singapore-Manager%2C-SingHealth-Community-Health-Office-of-Learning-%28Contract%29-Sing/47342944/,"=HYPERLINK(""https://careers.singhealth.com.sg/SHHQ/job/Singapore-Manager%2C-SingHealth-Community-Health-Office-of-Learning-%28Contract%29-Sing/47342944/"", ""View Job"")"
Bioinformatics Specialist,BDMED,https://careers.singhealth.com.sg/NCCS/job/Singapore-Bioinformatics-Specialist-%28BDMED%29-Sing/49640344/,"=HYPERLINK(""https://careers.singhealth.com.sg/NCCS/job/Singapore-Bioinformatics-Specialist-%28BDMED%29-Sing/49640344/"", ""View Job"")"
"Associate Executive, Community Engagement & Partnerships",Contract till Dec 2026,https://careers.singhealth.com.sg/SCH/job/Singapore-Associate-Executive%2C-Community-Engagement-&-Partnerships-%28Contract-till-Dec-2026%29-Sing/48550044/,"=HYPERLINK(""https://careers.singhealth.com.sg/SCH/job/Singapore-Associate-Executive%2C-Community-Engagement-&-Partnerships-%28Contract-till-Dec-2026%29-Sing/48550044/"", ""View Job"")"
"Senior Manager / Manager , EGH Planning Office",Support and Patient Operations - General Services,https://careers.singhealth.com.sg/EGH/job/Singapore-Senior-Manager-Manager-%28Support-and-Patient-Operations-General-Services%29%2C-EGH-Planning-Office-Sing/48528644/,"=HYPERLINK(""https://careers.singhealth.com.sg/EGH/job/Singapore-Senior-Manager-Manager-%28Support-and-Patient-Operations-General-Services%29%2C-EGH-Planning-Office-Sing/48528644/"", ""View Job"")"
"Senior Executive/ Senior/Assistant Manager, Medical Device Technology",Unknown,https://careers.singhealth.com.sg/SHHQ/job/Singapore-Senior-Executive-SeniorAssistant-Manager%2C-Medical-Device-Technology-Sing/27265044/,"=HYPERLINK(""https://careers.singhealth.com.sg/SHHQ/job/Singapore-Senior-Executive-SeniorAssistant-Manager%2C-Medical-Device-Technology-Sing/27265044/"", ""View Job"")"
"Senior Executive, SingHealth Residency  2-year contract",Surgical Programmes,https://careers.singhealth.com.sg/SHHQ/job/Singapore-Senior-Executive%2C-SingHealth-Residency-%28Surgical-Programmes%29-2-year-contract-Sing/49645644/,"=HYPERLINK(""https://careers.singhealth.com.sg/SHHQ/job/Singapore-Senior-Executive%2C-SingHealth-Residency-%28Surgical-Programmes%29-2-year-contract-Sing/49645644/"", ""View Job"")"
"Senior Assistant Director , Staff Wellness Office",Mental Wellness Program,https://careers.singhealth.com.sg/SHHQ/job/Singapore-Senior-Assistant-Director-%28Mental-Wellness-Program%29%2C-Staff-Wellness-Office-Sing/23691044/,"=HYPERLINK(""https://careers.singhealth.com.sg/SHHQ/job/Singapore-Senior-Assistant-Director-%28Mental-Wellness-Program%29%2C-Staff-Wellness-Office-Sing/23691044/"", ""View Job"")"
Associate Wellbeing Coordinator,Contract,https://careers.singhealth.com.sg/SKH/job/Singapore-Associate-Wellbeing-Coordinator-%28Contract%29-Sing/16125544/,"=HYPERLINK(""https://careers.singhealth.com.sg/SKH/job/Singapore-Associate-Wellbeing-Coordinator-%28Contract%29-Sing/16125544/"", ""View Job"")"
Sponsorship - Diploma in Biomedical Engineering,Unknown,https://careers.singhealth.com.sg/SGH/job/Singapore-Sponsorship-Diploma-in-Biomedical-Engineering-Sing/37259344/,"=HYPERLINK(""https://careers.singhealth.com.sg/SGH/job/Singapore-Sponsorship-Diploma-in-Biomedical-Engineering-Sing/37259344/"", ""View Job"")"
Dental Assistant/ Senior Dental Assistant/ Lead Dental Assistant,Unknown,https://careers.singhealth.com.sg/NDCS/job/Singapore-Dental-Assistant-Senior-Dental-Assistant-Lead-Dental-Assistant-Sing/14380544/,"=HYPERLINK(""https://careers.singhealth.com.sg/NDCS/job/Singapore-Dental-Assistant-Senior-Dental-Assistant-Lead-Dental-Assistant-Sing/14380544/"", ""View Job"")"
Clinical Associate,Doctor,https://careers.singhealth.com.sg/SNEC/job/Singapore-Clinical-Associate-%28Doctor%29-Sing/13781744/,"=HYPERLINK(""https://careers.singhealth.com.sg/SNEC/job/Singapore-Clinical-Associate-%28Doctor%29-Sing/13781744/"", ""View Job"")"
Acupuncturist,Unknown,https://careers.singhealth.com.sg/SGH/job/Singapore-Acupuncturist-Sing/15671544/,"=HYPERLINK(""https://careers.singhealth.com.sg/SGH/job/Singapore-Acupuncturist-Sing/15671544/"", ""View Job"")"
"Senior / Manager, Centre for Population Health Research and Implementation",Contract,https://careers.singhealth.com.sg/SHHQ/job/Singapore-Senior-Manager%2C-Centre-for-Population-Health-Research-and-Implementation-%28Contract%29-Sing/38142644/,"=HYPERLINK(""https://careers.singhealth.com.sg/SHHQ/job/Singapore-Senior-Manager%2C-Centre-for-Population-Health-Research-and-Implementation-%28Contract%29-Sing/38142644/"", ""View Job"")"
